rfam_id,n,top1_precision_mean,top1_recall_mean,top1_f1_mean,top100_precision_mean,top100_recall_mean,top100_f1_mean,top1_mcc_mean,top100_mcc_mean,top1_precision_median,top1_recall_median,top1_f1_median,top100_precision_median,top100_recall_median,top100_f1_median,delta_f1_mean,delta_f1_median,p_best100_ge_0p7,p_best100_ge_0p9,min_n_predictions,p_best_rank_le_10,best_rank_median,best_rank_p90,best_rank_max,p_delta_f1_ge_0p3
RF01051,3.0,0.6602564102564102,0.6180676328502416,0.6365026990809218,0.7680776014109347,0.7740096618357488,0.7664265294453974,0.6353681264012022,0.7669732120307228,0.7307692307692307,0.76,0.7450980392156863,0.7857142857142857,0.8333333333333334,0.830188679245283,0.12992383036447547,0.08509064002959665,0.6666666666666666,0.3333333333333333,100.0,0.3333333333333333,56.0,76.8,82.0,0.3333333333333333
RF00168,3.0,0.787577365163572,0.7538067944208015,0.7701424501424502,0.8039977264115196,0.8189958426606972,0.8110161443494777,0.7694029595598749,0.8103990863572205,0.6896551724137931,0.6779661016949152,0.6837606837606838,0.8103448275862069,0.7966101694915254,0.8034188034188032,0.04087369420702747,0.002962962962962945,0.6666666666666666,0.3333333333333333,100.0,0.3333333333333333,20.0,28.8,31.0,0.0
RF00174,3.0,0.6749571183533448,0.7627627627627627,0.7125390450691654,0.8055555555555557,0.8965118965118966,0.843368865840776,0.7146474272585545,0.8466422459803061,0.5909090909090909,0.6666666666666666,0.6265060240963856,0.7435897435897436,0.9459459459459459,0.7865168539325843,0.13082982077161043,0.11708371949335816,1.0,0.3333333333333333,100.0,0.6666666666666666,6.0,49.2,60.0,0.0
RF01716,3.0,0.6279176201372997,0.7852941176470588,0.6947803617571059,0.8484477124183006,0.8970588235294118,0.8581699346405229,0.6978309688466257,0.8643213522620735,0.631578947368421,0.75,0.6976744186046512,0.9375,0.9411764705882353,0.8333333333333334,0.1633895728834169,0.1356589147286822,1.0,0.3333333333333333,100.0,0.0,45.0,77.8,86.0,0.0
RF01834,3.0,0.875,0.9047619047619048,0.8746031746031745,0.875,0.9047619047619048,0.8746031746031745,0.880801207355194,0.880801207355194,0.875,1.0,0.8571428571428571,0.875,1.0,0.8571428571428571,0.0,0.0,1.0,0.3333333333333333,100.0,1.0,1.0,1.0,1.0,0.0
RF01739,3.0,0.7067736185383243,0.9375,0.8024749373433585,0.8357843137254902,0.9791666666666666,0.8966049382716049,0.8105014765391121,0.9012014483626477,0.6470588235294118,1.0,0.7857142857142858,0.8823529411764706,1.0,0.9375,0.09413000092824646,0.02910052910052896,1.0,0.6666666666666666,100.0,1.0,3.0,3.0,3.0,0.0
RF00507,3.0,0.8377777777777777,0.9549206349206348,0.8878104575163399,0.864957264957265,0.9682539682539683,0.9084967320261438,0.8912953470224586,0.9120049413802094,0.92,0.96,0.9583333333333334,0.9615384615384616,1.0,0.9803921568627451,0.02068627450980391,0.020392156862745092,1.0,0.6666666666666666,100.0,0.6666666666666666,2.0,77.2,96.0,0.0
RF03165,3.0,0.7619047619047619,0.7836257309941521,0.7722222222222223,0.9210144927536232,0.9093567251461988,0.9147117657755954,0.7703827486561532,0.9141780041976912,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9565217391304348,0.9166666666666666,0.9361702127659574,0.1424895435533732,0.10283687943262398,1.0,0.6666666666666666,100.0,0.6666666666666666,2.0,25.200000000000003,31.0,0.0
RF00173,3.0,0.7666666666666666,0.9259259259259259,0.8382066276803118,0.9212962962962963,0.9259259259259259,0.9215686274509803,0.8398298427140305,0.921514695925378,0.8,1.0,0.888888888888889,0.8888888888888888,1.0,0.9411764705882353,0.08336199977066854,0.08668730650154821,1.0,0.6666666666666666,100.0,0.3333333333333333,30.0,37.2,39.0,0.0
RF00080,3.0,0.8924972766884531,0.9444444444444445,0.9163796666207465,0.9481915933528837,0.9537037037037037,0.9499442586399107,0.9168991598391312,0.9501401444573796,0.8888888888888888,1.0,0.9411764705882353,0.9393939393939394,1.0,0.9666666666666666,0.03356459201916421,0.04140786749482417,1.0,0.6666666666666666,100.0,0.3333333333333333,32.0,68.0,77.0,0.0
