truth_len,ref_pairs,ref_pk_pairs,ref_pair_density,top1_f1,top100_f1,delta_f1
124,36,7,0.2903225806451613,0.7160493827160493,0.8354430379746837,0.11939365525863432
36,11,0,0.3055555555555556,0.9565217391304348,1.0,0.04347826086956519
98,32,7,0.32653061224489793,0.49230769230769234,0.90625,0.41394230769230766
72,15,0,0.20833333333333334,0.8333333333333333,0.8571428571428571,0.023809523809523836
75,23,5,0.30666666666666664,0.9565217391304348,0.9777777777777777,0.021256038647342934
78,22,4,0.28205128205128205,0.8333333333333333,0.888888888888889,0.05555555555555569
94,20,4,0.2127659574468085,0.45833333333333337,0.5833333333333334,0.125
33,6,2,0.18181818181818182,0.6666666666666666,0.8,0.13333333333333341
35,8,0,0.22857142857142856,1.0,1.0,0.0
48,18,0,0.375,0.6486486486486486,0.8648648648648649,0.21621621621621634
52,15,4,0.28846153846153844,0.9333333333333333,0.9655172413793104,0.03218390804597704
67,22,9,0.3283582089552239,0.8695652173913043,0.9047619047619048,0.035196687370600444
84,16,2,0.19047619047619047,0.5128205128205128,0.7777777777777777,0.2649572649572649
102,20,10,0.19607843137254902,0.4347826086956522,0.6382978723404256,0.20351526364477335
55,11,1,0.2,0.6896551724137931,0.7692307692307692,0.07957559681697601
160,37,1,0.23125,0.5111111111111112,0.7865168539325843,0.2754057428214731
76,24,8,0.3157894736842105,0.8727272727272727,0.9600000000000001,0.08727272727272739
56,11,1,0.19642857142857142,0.7407407407407406,0.7692307692307692,0.028490028490028574
71,20,4,0.28169014084507044,0.8085106382978724,0.9743589743589743,0.16584833606110194
55,17,0,0.3090909090909091,0.8125,1.0,0.1875
119,25,6,0.21008403361344538,0.6461538461538462,0.7096774193548386,0.06352357320099244
39,9,0,0.23076923076923078,0.761904761904762,0.9411764705882353,0.1792717086834733
39,7,0,0.1794871794871795,0.7368421052631579,0.8750000000000001,0.13815789473684226
39,11,0,0.28205128205128205,0.8695652173913043,0.9565217391304348,0.08695652173913049
39,7,0,0.1794871794871795,0.631578947368421,0.7777777777777778,0.14619883040935677
83,25,0,0.30120481927710846,0.6274509803921569,0.7272727272727272,0.09982174688057033
73,20,4,0.273972602739726,0.7083333333333333,0.8717948717948718,0.16346153846153855
102,19,1,0.18627450980392157,0.46808510638297873,0.6382978723404255,0.17021276595744672
89,29,19,0.3258426966292135,0.7586206896551724,0.9285714285714286,0.16995073891625623
71,24,9,0.3380281690140845,0.8333333333333334,0.9361702127659574,0.10283687943262398
59,20,1,0.3389830508474576,0.9189189189189189,0.9230769230769231,0.004158004158004269
42,6,0,0.14285714285714285,0.0,0.6153846153846153,0.6153846153846153
85,21,1,0.24705882352941178,0.7804878048780488,0.9302325581395349,0.14974475326148606
71,20,4,0.28169014084507044,0.8260869565217392,0.9500000000000001,0.12391304347826082
65,12,0,0.18461538461538463,0.26666666666666666,0.6428571428571429,0.37619047619047624
47,14,0,0.2978723404255319,0.1935483870967742,0.9333333333333333,0.7397849462365591
51,19,10,0.37254901960784315,0.6857142857142857,0.8823529411764706,0.19663865546218484
34,14,0,0.4117647058823529,1.0,1.0,0.0
97,28,14,0.28865979381443296,0.0,0.6666666666666666,0.6666666666666666
83,27,10,0.3253012048192771,0.5714285714285714,0.8979591836734693,0.3265306122448979
188,50,21,0.26595744680851063,0.35398230088495575,0.5384615384615384,0.1844792375765827
35,12,0,0.34285714285714286,0.9090909090909091,0.9090909090909091,0.0
38,14,0,0.3684210526315789,0.888888888888889,1.0,0.11111111111111105
54,14,0,0.25925925925925924,0.8484848484848484,0.9655172413793104,0.11703239289446199
74,19,5,0.25675675675675674,0.6363636363636364,0.6511627906976745,0.014799154334038112
39,12,0,0.3076923076923077,0.9600000000000001,0.9600000000000001,0.0
68,15,1,0.22058823529411764,0.29411764705882354,0.43749999999999994,0.1433823529411764
72,21,10,0.2916666666666667,0.0,0.22727272727272724,0.22727272727272724
74,16,5,0.21621621621621623,0.0,0.05128205128205128,0.05128205128205128
68,20,4,0.29411764705882354,0.6956521739130435,0.8648648648648648,0.16921269095182134
116,36,21,0.3103448275862069,0.19444444444444445,0.24615384615384614,0.05170940170940169
108,32,20,0.2962962962962963,0.8823529411764706,0.923076923076923,0.040723981900452455
185,54,0,0.2918918918918919,0.5535714285714285,0.8141592920353983,0.2605878634639698
